iter	Passed	Remaining
1077	164528	140718
1078	164673	140559
1079	164823	140405
1080	164984	140259
1081	165127	140099
1082	165247	139918
1083	165359	139731
1084	165525	139590
1085	165665	139427
1086	165799	139259
1087	165920	139080
1088	166056	138913
1089	166217	138768
1090	166335	138587
1091	166433	138389
1092	166541	138200
1093	166658	138018
1094	166782	137843
1095	166900	137662
1096	167018	137481
1097	167143	137307
1098	167259	137125
1099	167397	136961
1100	167533	136796
1101	167682	136641
1102	167845	136498
1103	167965	136319
1104	168082	136138
1105	168204	135962
1106	168339	135797
1107	168502	135653
1108	168636	135487
1109	168786	135333
1110	168922	135168
1111	169046	134993
1112	169192	134837
1113	169319	134665
1114	169494	134531
1115	169601	134344
1116	169712	134159
1117	169889	134026
1118	170004	133846
1119	170135	133677
1120	170294	133531
1121	170445	133378
1122	170580	133213
1123	170708	133043
1124	170861	132892
1125	170988	132720
1126	171144	132572
1127	171266	132397
1128	171369	132208
1129	171512	132049
1130	171647	131884
1131	171754	131698
1132	171883	131529
1133	171996	131348
1134	172138	131188
1135	172267	131020
1136	172416	130866
1137	172533	130688
1138	172671	130527
1139	172812	130367
1140	172935	130193
1141	173061	130023
1142	173202	129863
1143	173299	129672
1144	173437	129509
1145	173602	129368
1146	173718	129190
1147	173872	129041
1148	173983	128859
1149	174100	128682
1150	174216	128505
1151	174351	128342
1152	174472	128168
1153	174623	128017
1154	174756	127851
1155	174861	127667
1156	175008	127512
1157	175181	127377
1158	175325	127220
1159	175446	127047
1160	175618	126910
1161	175742	126740
1162	175878	126578
1163	175986	126395
1164	176176	126272
1165	176364	126147
1166	176499	125984
1167	176633	125820
1168	176745	125642
